NC_036756.1	NC_036753.1,NC_036754.1
NC_050820.1	NC_034359.1,NC_050810.1
NC_077385.1	NC_068055.1,NC_068056.1
NC_057578.1	NC_031829.1,NC_037199.1
NC_060791.1	NC_009765.1,NC_009949.1
NC_077431.1	NC_031437.1,NC_036942.1
NC_067535.1	NC_003119.8,NC_002694.1
NC_057176.1	NC_053279.1,NC_053282.1
NC_033375.1	NC_079629.1,NC_079627.1
NC_069320.1	NC_014675.1,NC_038071.1
NC_040994.1	NC_033874.1,NC_052703.1
NC_040942.1	NC_041235.1
NC_072590.1	NC_041161.1,NC_041420.1
NC_082222.1	NC_036304.1
NC_061586.1	NC_026913.1,NC_026907.1
NC_045045.1	NC_026839.1,NC_037954.1
NC_079926.1	NC_032038.1,NC_037492.1
NC_053690.1	NC_008334.1,NC_024929.1
NC_028589.1	NC_057237.1,NC_062378.1
NC_070105.1	NC_042747.1,NC_070192.1
NC_047393.1	NC_003119.8,NC_002694.1
NC_023120.1	NC_020361.1,NC_044893.1
NC_077411.1	NC_068055.1,NC_068056.1
NC_026962.1	NC_002762.1,NC_006084.1
NC_068003.1	NC_051503.1,NC_051992.1
NC_026957.1	NC_012927.1,NC_015830.1
NC_085441.1	NC_065733.1,NC_067634.1
NC_042766.1	NC_042767.1,NC_063329.1
NC_035639.1	NC_020019.1,NC_022264.1
NC_086692.1	NC_037951.1,NC_045062.1
NC_041259.1	NC_035140.1
NC_077370.1	NC_068055.1,NC_068056.1
NC_063481.1	NC_028171.1,NC_029828.1
NC_029897.1	NC_002762.1,NC_006084.1
NC_085429.1	NC_065733.1,NC_067634.1
NC_072645.1	NC_061292.1,NC_061689.1
NC_053545.1	NC_057526.1
NC_077350.1	NC_068055.1,NC_068056.1
NC_035386.1	NC_079629.1,NC_079627.1
NC_053315.1	NC_037690.1,NC_038120.1
NC_082019.1	NC_029885.1,NC_030484.1
NC_035701.1	NC_070213.1
NC_049014.1	NC_030064.1,NC_030065.1
NC_027469.1	NC_002762.1,NC_006084.1
NC_085774.1	NC_029227.1,NC_042827.1
NC_035396.1	NC_026203.1,NC_026999.1
NC_077378.1	NC_068055.1,NC_068056.1
NC_058826.1	NC_040177.1
NC_037037.1	NC_028444.1,NC_062946.1
NC_049109.1	NC_059684.1,NC_059857.1
NC_041294.1	NC_045887.1
NC_086841.1	NC_035030.1,NC_035038.1
NC_061001.1	NC_046891.1
NC_042455.1	NC_042456.1,NC_042457.1
NC_082904.1	NC_035505.1,NC_035506.1
NC_085515.1	NC_065733.1,NC_067634.1
NC_048493.1	NC_049591.1,NC_053754.1
NC_088033.1	NC_034364.1,NC_054213.1
NC_079952.1	NC_008334.1,NC_024929.1
NC_049110.1	NC_062806.1,NC_062808.1
NC_047347.1	NC_003119.8,NC_002694.1
NC_085518.1	NC_065733.1,NC_067634.1
NC_057246.1	NC_042454.1,NC_056242.1
NC_077362.1	NC_068055.1,NC_068056.1
NC_047318.1	NC_003119.8,NC_002694.1
NC_042167.1	NC_022457.1,NC_030062.1
NC_036092.1	NC_026203.1,NC_026999.1
NC_071950.1	NC_054266.1,NC_058624.1
NC_035540.1	NC_065157.1
NC_035709.1	NC_039178.1,NC_087777.1
NC_041618.1	NC_007898.3,NC_007943.1
NC_068001.1	NC_051503.1,NC_051992.1
NC_077322.1	NC_068055.1,NC_068056.1
NC_077381.1	NC_068055.1,NC_068056.1
NC_046385.1	NC_045096.1,NC_047450.1
NC_036817.1	NC_044488.1
NC_058912.1	NC_002762.1,NC_006084.1
NC_081503.1	NC_053949.1,NC_085268.1
NC_064309.1	NC_009618.1,NC_020319.1
NC_047345.1	NC_036744.1
NC_033895.1	NC_054353.1,NC_061756.1
NC_077394.1	NC_068055.1,NC_068056.1
NC_035355.1	NC_026203.1,NC_026999.1
NC_035366.1	NC_079629.1,NC_079627.1
NC_057574.1	NC_031829.1,NC_037199.1
NC_069634.1	NC_045338.1,NC_045341.1
NC_033910.1	NC_042193.1,NC_052745.1
NC_039815.1	NC_056827.1,NC_056829.1
NC_077426.1	NC_068055.1,NC_068056.1
NC_053589.1	NC_024543.1,NC_030609.1
NC_033896.1	NC_023247.1,NC_026787.1
NC_019616.1	NC_071868.1,NC_073583.1
NC_023121.1	NC_021437.1,NC_021441.1
NC_077396.1	NC_068055.1,NC_068056.1
NC_034931.1	NC_027959.1,NC_027960.1
NC_041300.1	NC_041417.1
NC_034998.1	NC_046786.1,NC_086667.1
NC_064951.1	NC_056314.1,NC_062304.1
NC_049111.1	NC_009143.1,NC_012224.1
NC_077442.1	NC_068055.1,NC_068056.1
NC_081461.1	NC_030786.1,NC_030789.1
NC_041521.1	NC_048459.1,NC_064528.1
NC_079739.1	NC_013991.2,NC_051507.1
NC_028026.1	NC_013991.2,NC_017602.1
NC_069322.1	NC_014675.1,NC_038071.1
NC_034702.1	NC_008796.1,NC_012615.1
NC_036815.1	NC_030767.1,NC_043931.1
NC_050811.1	NC_034359.1,NC_050810.1
NC_063637.1	NC_021111.1,NC_023131.1
NC_015803.1	NC_056925.1,NC_084179.1
NC_047395.1	NC_003119.8,NC_002694.1
NC_053577.1	NC_024543.1,NC_030609.1
NC_028734.1	NC_021438.1
NC_077451.1	NC_068055.1,NC_068056.1
NC_063827.1	NC_035896.1,NC_036940.1
NC_058269.1	NC_015892.1,NC_020316.1
NC_001879.2	NC_007500.1,NC_007602.1
NC_052872.1	NC_009765.1,NC_009949.1
NC_047377.1	NC_003119.8,NC_002694.1
NC_036977.1	NC_008796.1,NC_031651.1
NC_045084.1	NC_031435.1,NC_031436.1
NC_029965.1	NC_013991.2,NC_017602.1
NC_046699.1	NC_020019.1,NC_022264.1
NC_053769.1	NC_026690.1,NC_026691.1
NC_039584.1	NC_011152.3,NC_016069.1
NC_058532.1	NC_042444.1,NC_056339.1
NC_065866.1	NC_020431.1,NC_035233.1
NC_047359.1	NC_003119.8,NC_002694.1
NC_034684.1	NC_014570.1,NC_022378.1
NC_084871.1	NC_041129.1
NC_041590.1	NC_007898.3,NC_007943.1
NC_077507.1	NC_009273.1,NC_047178.1
NC_036820.1	NC_024721.1,NC_085231.1
NC_035700.1	NC_020019.1,NC_022264.1
NC_077397.1	NC_068055.1,NC_068056.1
NC_061352.1	NC_044634.1,NC_058577.1
NC_059946.1	NC_044718.1,NC_048520.1
NC_029813.1	NC_068654.1
NC_085454.1	NC_065733.1,NC_067634.1
NC_025653.1	NC_021449.1,NC_029719.2
NC_084227.1	NC_034934.1,NC_034935.1
NC_036093.1	NC_026203.1,NC_026999.1
NC_067529.1	NC_003119.8,NC_002694.1
NC_077471.1	NC_042954.1
NC_087884.1	NC_036153.1,NC_037190.1
NC_081923.1	NC_024714.1
NC_077414.1	NC_068055.1,NC_068056.1
NC_062357.1	NC_027955.1,NC_036494.1
NC_065476.1	NC_015608.1,NC_015604.1
NC_039155.1	NC_045395.1
NC_059983.1	NC_002762.1,NC_006084.1
NC_077364.1	NC_068055.1,NC_068056.1
NC_047317.1	NC_003119.8,NC_002694.1
NC_053379.1	NC_020431.1,NC_035233.1
NC_041520.1	NC_048459.1,NC_064528.1
NC_085732.1	NC_039625.1,NC_050878.1
NC_046737.1	NC_008325.1,NC_015113.1
NC_036077.1	NC_079629.1,NC_079627.1
NC_066742.1	NC_056380.1,NC_058613.1
NC_037503.1	NC_037190.1,NC_058739.1
NC_054283.1	NC_009143.1,NC_024681.1
NC_023111.1	NC_007977.1,NC_030173.1
NC_060800.1	NC_042746.1,NC_044811.1
NC_065992.1	NC_051919.1,NC_061765.1
NC_047413.1	NC_036372.1
NC_077339.1	NC_068055.1,NC_068056.1
NC_047372.1	NC_003119.8,NC_002694.1
NC_041586.1	NC_007898.3,NC_007943.1
NC_068224.1	NC_014056.1,NC_017609.1
NC_035642.1	NC_020019.1,NC_022264.1
NC_068229.1	NC_039454.1,NC_041166.1
NC_050412.1	NC_002762.1,NC_006084.1
NC_039564.1	NC_061008.1
NC_064082.1	NC_064014.1,NC_064016.1
NC_030777.1	NC_002762.1,NC_006084.1
NC_041271.1	NC_044185.1,NC_051455.1
NC_041511.1	NC_048459.1,NC_064528.1
NC_047394.1	NC_003119.8,NC_002694.1
NC_041626.1	NC_007898.3,NC_007943.1
NC_066100.1	NC_042211.1,NC_044895.1
NC_035326.1	NC_027691.1,NC_028549.1
NC_063511.1	NC_027691.1,NC_028549.1
NC_035687.1	NC_020019.1,NC_022264.1
NC_043871.1	NC_009765.1,NC_009949.1
NC_037700.1	NC_027691.1,NC_028549.1
NC_025230.1	NC_002762.1,NC_006084.1
NC_034685.1	NC_063671.1,NC_063850.1
NC_066692.1	NC_087714.1
NC_072328.1	NC_010109.1
NC_010358.2	NC_010360.2,NC_010362.1
NC_056207.1	NC_029371.1,NC_034346.1
NC_013086.1	NC_041099.1,NC_041098.1
NC_061579.1	NC_026913.1,NC_026907.1
NC_042274.1	NC_042454.1,NC_056242.1
NC_047360.1	NC_003119.8,NC_002694.1
NC_049021.1	NC_081469.1,NC_081470.1
NC_036416.1	NC_045942.1,NC_059033.1
NC_077357.1	NC_068055.1,NC_068056.1
NC_079849.1	NC_043783.1
NC_069323.1	NC_014675.1,NC_038071.1
NC_025655.1	NC_021423.1,NC_022431.1
NC_077420.1	NC_068055.1,NC_068056.1
NC_052009.1	NC_052008.1,NC_070222.1
NC_049161.1	NC_035718.1,NC_036834.1
NC_042709.1	NC_002762.1,NC_006084.1
NC_022380.1	NC_014570.1,NC_022378.1
NC_037475.1	NC_049591.1,NC_053754.1
NC_039585.1	NC_004677.2,NC_011156.4
NC_065332.1	NC_035807.1,NC_035808.1
NC_035384.1	NC_079629.1,NC_079627.1
NC_020362.1	NC_086669.1,NC_086670.1
NC_082919.1	NC_041434.1,NC_057571.1
NC_060663.1	NC_035999.1,NC_039976.1
NC_026300.1	NC_008829.1,NC_052844.1
NC_030377.1	NC_001666.2
NC_062408.1	NC_051919.1,NC_061765.1
NC_080538.1	NC_041583.1,NC_041584.1
NC_077365.1	NC_068055.1,NC_068056.1
NC_041264.1	NC_036236.1,NC_063088.1
NC_062075.1	NC_039975.1,NC_062073.1
NC_070487.1	NC_037882.1,NC_058983.1
NC_058808.1	NC_024543.1,NC_030609.1
NC_036941.1	NC_026913.1,NC_026907.1
NC_025306.1	NC_025333.1
NC_068893.1	NC_058010.1
NC_059978.1	NC_002762.1,NC_006084.1
NC_068625.1	NC_036037.1,NC_061251.1
NC_082128.1	NC_045272.1,NC_045273.1
NC_041266.1	NC_046939.1,NC_049005.1
NC_041279.1	NC_045399.1,NC_059914.1
NC_067534.1	NC_003119.8,NC_002694.1
NC_047353.1	NC_026680.1,NC_062052.1
NC_068015.1	NC_046847.1,NC_058267.1
NC_069215.1	NC_052768.1,NC_077492.1
NC_041589.1	NC_007898.3,NC_007943.1
NC_047332.1	NC_003119.8,NC_002694.1
NC_037507.1	NC_001319.1
NC_042845.1	NC_003119.8,NC_027153.1
NC_057216.1	NC_031207.1,NC_045274.1
NC_026958.1	NC_012927.1,NC_015830.1
NC_077266.1	NC_068055.1,NC_068056.1
NC_034692.1	NC_047247.1,NC_066431.1
NC_025236.1	NC_002762.1,NC_006084.1
NC_035337.1	NC_027691.1,NC_028549.1
NC_053374.1	NC_020431.1,NC_035233.1
NC_062055.1	NC_033344.1,NC_060840.1
NC_035368.1	NC_079629.1,NC_079627.1
NC_069045.1	NC_028185.1,NC_033979.1
NC_022388.1	NC_014570.1,NC_022378.1
