accession,plastanno_f1,pga_f1
NC_036756.1,92.06,92.37
NC_050820.1,70.50,88.72
NC_077385.1,90.70,91.76
NC_057578.1,97.71,81.42
NC_077431.1,91.05,94.57
NC_067535.1,97.28,90.00
NC_057176.1,90.35,96.50
NC_033375.1,93.23,77.12
NC_069320.1,84.12,90.00
NC_040994.1,89.33,90.98
NC_072590.1,94.30,95.06
NC_061586.1,95.09,89.68
NC_045045.1,92.49,88.98
NC_079926.1,94.34,93.63
NC_053690.1,94.07,92.25
NC_028589.1,97.32,90.77
NC_070105.1,95.82,90.91
NC_047393.1,96.12,89.58
NC_023120.1,85.71,92.89
NC_077411.1,91.05,91.34
NC_026962.1,89.92,69.73
NC_068003.1,99.22,97.69
NC_026957.1,91.41,91.41
NC_085441.1,92.37,93.68
NC_042766.1,89.06,89.89
NC_035639.1,95.42,94.74
NC_086692.1,98.46,95.02
NC_041259.1,96.47,74.55
NC_077370.1,90.70,90.98
NC_063481.1,94.12,94.55
NC_029897.1,92.37,71.97
NC_085429.1,93.13,91.39
NC_072645.1,96.92,96.53
NC_053545.1,91.00,92.23
NC_077350.1,91.41,91.76
NC_035386.1,93.18,80.00
NC_053315.1,89.60,89.74
NC_082019.1,95.38,88.55
NC_035701.1,93.89,86.51
NC_049014.1,96.95,80.69
NC_027469.1,94.98,70.77
NC_085774.1,93.85,91.34
NC_035396.1,92.08,89.31
NC_077378.1,90.70,90.98
NC_058826.1,83.40,77.34
NC_037037.1,89.41,92.25
NC_049109.1,92.86,95.12
NC_041294.1,94.25,88.52
NC_086841.1,91.12,92.43
NC_061001.1,96.95,79.82
NC_042455.1,90.00,80.69
NC_082904.1,90.20,92.61
NC_085515.1,92.02,92.88
NC_048493.1,90.35,66.91
NC_088033.1,67.18,58.45
NC_079952.1,97.69,94.38
NC_049110.1,90.00,95.28
NC_047347.1,96.50,89.58
NC_085518.1,93.13,91.85
NC_057246.1,88.48,80.17
NC_077362.1,91.05,91.76
NC_047318.1,97.44,89.13
NC_042167.1,94.85,89.90
NC_036092.1,88.81,87.91
NC_071950.1,95.45,95.88
NC_035540.1,95.79,96.60
NC_035709.1,92.42,92.08
NC_041618.1,95.75,89.07
NC_068001.1,98.45,96.92
NC_077322.1,91.05,90.98
NC_077381.1,91.05,91.76
NC_046385.1,98.04,90.71
NC_036817.1,92.31,89.96
NC_058912.1,94.21,70.50
NC_081503.1,91.54,96.18
NC_064309.1,86.27,63.91
NC_047345.1,99.22,92.18
NC_033895.1,95.02,96.60
NC_077394.1,90.70,90.98
NC_035355.1,92.13,88.30
NC_035366.1,92.48,77.12
NC_057574.1,94.98,80.72
NC_069634.1,93.80,94.21
NC_033910.1,91.60,89.66
NC_039815.1,94.03,91.39
NC_077426.1,91.05,90.20
NC_053589.1,91.95,95.09
NC_033896.1,92.02,93.85
NC_019616.1,84.68,79.68
NC_023121.1,87.72,79.61
NC_077396.1,91.41,90.98
NC_034931.1,95.76,0.00
NC_041300.1,96.12,96.92
NC_034998.1,83.79,86.69
NC_064951.1,94.16,94.94
NC_049111.1,98.10,93.18
NC_077442.1,91.05,91.76
NC_081461.1,95.49,96.27
NC_041521.1,95.90,95.00
NC_079739.1,97.34,88.12
NC_028026.1,94.34,87.36
NC_069322.1,84.26,93.39
NC_034702.1,95.79,95.35
NC_036815.1,92.31,94.57
NC_050811.1,69.96,88.72
NC_063637.1,94.66,64.08
NC_015803.1,94.66,91.70
NC_047395.1,95.72,89.49
NC_053577.1,89.92,95.38
NC_028734.1,90.99,69.15
NC_077451.1,90.62,90.55
NC_063827.1,95.65,97.83
NC_058269.1,92.37,92.66
NC_001879.2,92.25,74.19
NC_052872.1,95.24,88.89
NC_047377.1,98.83,90.35
NC_036977.1,96.55,94.30
NC_045084.1,93.94,78.95
NC_029965.1,92.83,86.26
NC_046699.1,95.02,95.52
NC_053769.1,91.12,93.08
NC_039584.1,74.63,83.17
NC_058532.1,90.84,85.29
NC_065866.1,94.34,96.60
NC_047359.1,98.10,90.49
NC_034684.1,97.30,94.57
NC_084871.1,96.55,93.08
NC_041590.1,96.12,89.88
NC_077507.1,70.72,71.38
NC_036820.1,93.44,93.13
NC_035700.1,95.42,94.38
NC_077397.1,91.05,92.55
NC_061352.1,98.48,93.98
NC_059946.1,90.15,95.56
NC_029813.1,98.08,96.55
NC_085454.1,92.78,92.59
NC_025653.1,78.40,75.41
NC_084227.1,97.34,96.24
NC_036093.1,89.86,85.00
NC_067529.1,95.31,89.15
NC_077471.1,96.30,80.83
NC_087884.1,95.79,96.12
NC_081923.1,90.84,93.02
NC_077414.1,91.05,90.98
NC_062357.1,93.20,88.18
NC_065476.1,77.39,78.92
NC_039155.1,86.55,92.24
NC_059983.1,94.98,70.54
NC_077364.1,91.05,91.76
NC_047317.1,97.66,88.80
NC_053379.1,95.85,97.73
NC_041520.1,95.47,94.17
NC_085732.1,95.42,96.12
NC_046737.1,93.85,92.72
NC_036077.1,91.19,79.31
NC_066742.1,95.02,93.23
NC_037503.1,95.65,60.00
NC_054283.1,93.08,81.36
NC_023111.1,91.89,93.39
NC_060800.1,96.55,95.45
NC_065992.1,91.54,83.05
NC_047413.1,92.62,92.89
NC_077339.1,91.05,90.20
NC_047372.1,95.69,89.06
NC_041586.1,95.75,89.07
NC_068224.1,45.71,33.96
NC_035642.1,94.66,94.78
NC_068229.1,97.28,96.44
NC_050412.1,92.83,67.17
NC_039564.1,85.22,93.04
NC_064082.1,93.70,94.02
NC_030777.1,90.30,68.38
NC_041271.1,96.55,87.02
NC_041511.1,95.08,95.00
NC_047394.1,96.50,89.58
NC_041626.1,96.53,89.07
NC_066100.1,92.72,93.94
NC_035326.1,92.74,75.93
NC_063511.1,95.82,73.36
NC_035687.1,95.42,94.78
NC_043871.1,91.80,93.05
NC_037700.1,95.20,77.63
NC_025230.1,91.67,71.70
NC_034685.1,89.26,95.93
NC_066692.1,94.90,96.50
NC_072328.1,94.70,77.92
NC_010358.2,67.68,80.00
NC_056207.1,95.52,93.28
NC_013086.1,75.27,59.76
NC_061579.1,95.09,89.60
NC_042274.1,92.02,81.01
NC_047360.1,96.12,89.58
NC_049021.1,96.95,81.39
NC_077357.1,90.70,90.98
NC_079849.1,83.67,87.65
NC_069323.1,84.26,92.50
NC_025655.1,94.21,96.18
NC_077420.1,91.05,90.98
NC_052009.1,88.75,88.15
NC_049161.1,93.44,88.65
NC_042709.1,93.44,71.32
NC_022380.1,97.30,95.35
NC_037475.1,96.18,90.51
NC_039585.1,83.49,76.79
NC_065332.1,34.82,29.91
NC_035384.1,92.48,77.12
NC_020362.1,96.18,92.43
NC_082919.1,87.02,81.69
NC_060663.1,97.34,96.55
NC_026300.1,88.97,95.59
NC_030377.1,91.34,72.65
NC_062408.1,91.95,83.54
NC_080538.1,33.46,32.56
NC_077365.1,90.70,90.98
NC_041264.1,94.40,93.65
NC_062075.1,88.89,81.33
NC_070487.1,92.97,96.09
NC_058808.1,89.15,88.97
NC_036941.1,95.09,89.68
NC_025306.1,95.06,95.35
NC_068893.1,94.94,97.69
NC_059978.1,93.80,71.54
NC_068625.1,86.89,95.20
NC_082128.1,95.45,96.60
NC_041266.1,94.66,92.72
NC_041279.1,92.37,94.78
NC_067534.1,95.52,90.44
NC_047353.1,97.25,94.66
NC_068015.1,96.15,96.21
NC_069215.1,88.89,90.57
NC_041589.1,95.75,89.88
NC_047332.1,95.31,88.80
NC_037507.1,84.71,68.57
NC_042845.1,90.50,94.93
NC_057216.1,93.94,91.37
NC_026958.1,90.27,91.05
